"01p07nea","06p07nea","94p07nea"
-0.09619391,0.103349745,-0.125870943
-0.02981852,-0.068356574,-0.185443997
0.095739841,-0.130742431,-0.070139647
0.182328403,-0.099005699,0.025493618
0.139576554,0.017865248,0.091666639
-0.113621593,0.045075059,0.08346647
-0.400185466,-0.024761755,0.002543224
-0.514884412,-0.201120675,-0.145579815
-0.351048589,-0.379565537,-0.279761374
-0.058966637,-0.454958439,-0.208378792
0.15918541,-0.338175416,0.06201911
0.212832212,-0.085327625,0.442446351
0.106369555,0.163781345,0.617649198
-0.016324699,0.281137288,0.559213459
-0.172610939,0.180781901,0.331178904
-0.257559538,-0.002107829,0.085035443
-0.289141238,-0.218648374,-0.074241698
-0.239130616,-0.334273815,-0.229717016
-0.191538095,-0.379045188,-0.30541265
-0.261987209,-0.389634013,-0.377092123
-0.361750126,-0.39083606,-0.340925753
-0.450377345,-0.456961632,-0.323522806
-0.300670087,-0.456341267,-0.356206775
0.032669239,-0.410726309,-0.329204082
0.434728205,-0.180061936,-0.211880624
0.694328129,0.115653992,0.059205137
0.682332754,0.368321717,0.275071383
0.522613585,0.525787055,0.358050168
0.254301608,0.482746661,0.249176085
0.029411606,0.336857259,0.069206893
-0.161929786,0.045350537,-0.041060891
-0.287609875,-0.205168724,-0.090494633
-0.259943843,-0.328211725,-0.052516244
-0.096796572,-0.27362138,0.038650908
0.176913798,-0.075933516,0.146003246
0.394811809,0.148291707,0.213279188
0.489938915,0.404452324,0.215631306
0.455791116,0.576841056,0.18076098
0.282099247,0.640710115,0.136215508
0.060723677,0.512300253,0.07746315
-0.230005324,0.292897224,0.007242478
-0.441841424,0.135524094,-0.117815793
-0.538551211,0.093932629,-0.200407088
-0.548443019,0.192575037,-0.227674246
-0.471949875,0.263668478,-0.168110073
-0.369615197,0.285100758,-0.045546398
-0.160454035,0.167521477,0.060776375
0.030558333,0.004494011,0.159020543
0.115747213,-0.207969785,0.186654031
-0.01777244,-0.40148592,0.129899204
-0.240496516,-0.51929611,-0.002992727
-0.330322981,-0.60938704,-0.19176203
-0.194604993,-0.561275482,-0.292154372
0.131683469,-0.48728317,-0.318063676
0.447137892,-0.246645868,-0.250201404
0.665950358,0.056555748,-0.148106039
0.706529975,0.418342173,-0.059707589
0.623846591,0.685582817,0.07013911
0.368313134,0.700333118,0.159058988
0.090179741,0.596562564,0.243774652
-0.164507687,0.322398245,0.225133598
-0.315284252,0.124966502,0.170612335
-0.375658751,-0.109369099,0.084370017
-0.41210568,-0.276060104,-0.02685038
-0.345682263,-0.34666121,-0.070215046
-0.282053173,-0.341952205,-0.071289003
-0.133886933,-0.228034079,-0.046176694
-0.046287939,-0.201892734,-0.039740589
0.05335854,-0.143381774,-0.022775281
0.143107653,-0.10651356,0.022856425
0.194436729,0.013161045,0.054451436
0.225647032,0.137286425,0.021446574
0.153959036,0.191831291,-0.089398801
0.110480726,0.191742122,-0.212505698
0.094891608,0.102220058,-0.262722015
0.215873122,0.050665181,-0.259625971
0.344282508,-0.012975696,-0.184011519
0.360847175,0.017054815,-0.078979313
0.194638133,0.063309789,0.012687352
-0.118827939,0.068227232,0.071811676
-0.38293606,-0.041909926,0.082183957
-0.502348542,-0.244171798,0.111861348
-0.434187651,-0.36686939,0.139050722
-0.305524826,-0.438827395,0.207749307
-0.185125351,-0.412662327,0.249916673
-0.131842792,-0.348672748,0.278713226
-0.128531814,-0.180225074,0.272389472
-0.11290741,0.054193228,0.210437536
-0.103167653,0.207374096,0.143788815
-0.08359921,0.226602912,0.000845445
-0.110009372,0.091905713,-0.110139251
-0.182757676,-0.027999785,-0.246502817
-0.270501077,-0.112322211,-0.335275173
-0.323137164,-0.124693751,-0.360888779
-0.261303306,-0.066810846,-0.288608253
-0.148763895,-0.021320641,-0.023553044
0.018099561,0.031392291,0.228127658
0.177803695,0.028528616,0.498143613
0.332737327,0.053660423,0.586459577
0.485421121,0.135444641,0.540688515
0.523746014,0.225597382,0.393809617
0.448810458,0.280545771,0.052896902
0.242738664,0.175868511,-0.251239955
